,word,variant,count,cat,affix_type
267,swordswoman,swordswoman,1, woman,suffix
268,sportswoman,sportswoman,1, woman,suffix
269,ambulancewoman,ambulancewoman,1, woman,suffix
270,catwoman,catwoman,1, woman,suffix
271,anti-woman,antiwoman,1, woman,suffix
272,selectwoman,selectwoman,1, woman,suffix
273,tribeswoman,tribeswoman,1, woman,suffix
274,horsewoman,horsewoman,1, woman,suffix
275,cowboy,cowboy,523, boy,suffix
276,playboy,playboy,163, boy,suffix
277,fanboy,fanboy,159, boy,suffix
278,tomboy,tomboy,55, boy,suffix
279,busboy,busboy,37, boy,suffix
280,plowboy,plowboy,31, boy,suffix
281,paperboy,paperboy,28, boy,suffix
282,homeboy,homeboy,26, boy,suffix
283,cowboys,cowboys,23, boy,suffix
284,fanboys,fanboys,22, boy,suffix
285,doughboy,doughboy,6, boy,suffix
286,playboys,playboys,5, boy,suffix
287,sackboy,sackboy,5, boy,suffix
288,ballboy,ballboy,5, boy,suffix
289,batboy,batboy,5, boy,suffix
290,houseboy,houseboy,5, boy,suffix
291,ladyboy,ladyboy,4, boy,suffix
292,farmboy,farmboy,4, boy,suffix
293,fireboy,fireboy,3, boy,suffix
294,newsboy,newsboy,3, boy,suffix
295,hellboy,hellboy,3, boy,suffix
296,bellboy,bellboy,3, boy,suffix
297,man-boy,manboy,2, boy,suffix
298,paperboys,paperboys,2, boy,suffix
299,fratboy,fratboy,2, boy,suffix
300,busboys,busboys,2, boy,suffix
301,fisherboy,fisherboy,1, boy,suffix
302,nancyboy,nancyboy,1, boy,suffix
303,transboy,transboy,1, boy,suffix
304,headboy,headboy,1, boy,suffix
305,doughboys,doughboys,1, boy,suffix
306,whiteboy,whiteboy,1, boy,suffix
307,femboy,femboy,1, boy,suffix
308,toyboy,toyboy,1, boy,suffix
309,copyboy,copyboy,1, boy,suffix
310,dog-boy,dog boy,1, boy,suffix
311,tomboys,tomboys,1, boy,suffix
312,manboy,manboy,1, boy,suffix
313,callboy,callboy,1, boy,suffix
314,poboy,poboy,1, boy,suffix
315,flyboys,flyboys,1, boy,suffix
316,showgirl,showgirl,18, girl,suffix
317,fangirl,fangirl,14, girl,suffix
318,cowgirl,cowgirl,13, girl,suffix
319,supergirl,supergirl,7, girl,suffix
320,batgirl,batgirl,3, girl,suffix
321,showgirls,showgirls,3, girl,suffix
322,dreamgirl,dreamgirl,2, girl,suffix
323,bargirls,bargirls,2, girl,suffix
324,bargirl,bargirl,2, girl,suffix
325,babygirl,babygirl,1, girl,suffix
